77,89,1,1
75,80,0,2
75,85,0,3
72,70,1,4
73,81,0,5
76,80,0,10
77,81,1,11
79,84,1,12
70,73,1,13
72,70,1,14
78,98,5,18
77,94,2,19
71,87,2,20
73,82,1,21
73,76,0,22
75,77,0,27
74,74,0,28
74,87,0,29
77,80,0,30
76,71,0,31
78,72,1,32
75,80,0,33
77,75,0,34
74,74,0,35
73,78,0,36
72,80,1,37
70,79,1,38
75,77,0,39
75,78,1,40
75,73,0,41
72,99,7,42
73,90,3,43
76,87,2,44
77,88,2,45
79,80,1,46
71,76,0,47
72,77,0,48
78,77,0,49
80,73,0,50
71,70,0,51
73,79,1,52
73,72,0,53
75,70,0,54
74,76,1,55
74,71,0,56
83,78,0,57
82,78,1,58
77,74,0,59
75,80,0,60
77,82,1,61
73,73,0,62
72,71,0,63
70,76,0,64
71,77,0,65
71,71,0,66
77,83,0,67
75,80,0,68
72,83,1,69
73,70,0,70
76,76,0,71
77,80,0,72
79,82,0,73
70,77,0,74
72,78,1,75
78,85,2,76
80,82,0,77
71,72,0,78
73,72,0,79
72,74,0,80
75,75,0,81
73,81,1,82
74,80,0,83
83,71,0,84
81,73,0,85
77,77,1,86
75,74,0,87
77,76,0,88
74,76,0,89
73,79,0,90
72,83,0,91
70,84,1,92
71,80,0,93
76,74,0,94
77,70,0,95
72,71,0,96
73,74,0,97
76,73,0,98
77,72,0,99
79,70,0,100
71,78,1,101
